abelo        : пчела
regxisoro    : режиссёр
regxo        : король
rehabiliti   : реабилитировать
reklamo      : реклама
rekomendi    : рекомендовать
rekompenci   : вознаграждать
rekordo      : рекорд
rekruto      : рекрут, новобранец, призывник
rekta        : прямой
rektoro      : ректор
relativa     : относительный
reliefo      : рельеф; выпуклость; выразительность
religio      : религия
remburi      : набивать; набивать цену
rendevuo     : встреча, свидание
rendimento   : производительность, продуктивность, эффективность
renegato     : ренегат, отступник,  перерожденец
renesanco    : возрождение
renkonti     : встречать
renomo       : реноме, репутация
renversi     : опрокинуть; переворачивать
repertuaro   : репертуар
reprezalio   : репрессия
reprezenti   : воображать; представлять (быть представителем)
reputacio    : репутация, известность, доброе имя
respekti     : почитать, уважать
respondi     : отвечать; быть ответственным, соответствовать
respubliko   : республика
resti        : оставаться, пребывать
restoracio   : ресторан
resumi       : резюмировать, подводить итог
reto         : сетка, сеть
retoriko     : риторика, красноречие
revelacio    : озарение, откровение
revi         : мечтать
revolucio    : революция
revolver     : револьвер
revuo        : журнал; обозрение
rezervo      : резерв, запас
rezidi       : обитать, проживать
rezigni      : отказываться, отрекаться
rezino       : древесная смола
rezisti      : противостоять,  сопротивляться
rezoluta     : непоколебимый, решительный
rezoluzio    : резолюция
rezoni       : рассуждать
rezulto      : результат
ribeli       : восставать
ricevi       : получать
ricxa        : богатый
ridi         : смеяться
rifuzi       : отказываться, отклонять
rigardi      : смотреть; считать
rigida       : жёсткий, твёрдый; застывший, окоченелый
rikani       : зубоскалить, ухмыляться
rikisxo      : рикша
rikolto      : урожай
rilati       : относиться (иметь отношение)
rimarki      : замечать, примечать
rimedo       : способ, средство
rimo         : рифма
ringo        : кольцо
ripeti       : повторять
ripozi       : отдыхать
riprocxi     : упрекать; делать выговор
riski        : рисковать
ritmo        : ритм
rito         : обряд, ритуал, церемония
rivalo       : конкурент, соперник
riveli       : обнаруживать; проявлять
rivero       : река
robo         : платье
rojo         : ручей
roko         : скала; горная порода
rolo         : роль
romano       : роман
romanso      : романс
romantiko    : романтика
rompi        : ломать; нарушать; прерывать; расторгать
rondo        : круг, кружок; окружение, среда
ronki        : храпеть
rosti        : жарить, поджаривать
rozario      : чётки
rozo         : роза
rublo        : рубль
rubo         : мусор, отбросы; хлам
rugxa        : красный
ruino        : руины; гибель, крушение
ruli         : катать; свертывать
rulo         : сверток; рулон
rusto        : ржавчина
rutino       : рутина, косность, шаблон;  навык, сноровка
ruza         : коварный, лукавый, хитрый
sabato       : суббота
sablo        : песок
sagaca       : проницательный
sagao        : сказание
sago         : стрела
sagxa        : умный, мудрый, благоразумный
sako         : мешок; сумка
sakri        : ругаться, проклинать
salajro      : заработная плата
salato       : салат
salmo        : лосось, семга
salo         : соль
salono       : салон; гостиная; зал
salti        : прыгать
saluti       : приветствовать
sama         : одинаковый
sana         : здоровый
sanatorio    : санаторий
sandvicxo    : сандвич, бутерброд
sango        : кровь
sankta       : святой, священный
sarkasmo     : сарказм, ехидство
sata         : сытый
satana       : сатана, дьявол
satelito     : спутник
satiro       : сатира
saturi       : насыщать
sauxco       : соус
savi         : избавить; спасать
sceno        : сцена
scienco      : наука
scii         : знать
scintili     : мерцать
se           : если
seanco       : сеанс; заседание
secesio      : разделение; раскол
sed          : а, но
segi         : пилить
segxo        : стул
seka         : высохший, сушеный
sekretario   : секретарь
sekreto      : секрет, тайна
sekso        : секс, пол
sekundo      : секунда
sekura       : безопасный
sekvi        : следить; следовать; соблюдать
semajno      : неделя
seminario    : семинар
semo         : семя
sen          : без
senco        : значение, смысл
sendi        : посылать
sensacio     : сенсация
senso        : ощущение; чувство
senti        : чувствовать
sentimentala : сентиментальный
sep          : семь
septembro    : сентябрь
septo        : перегородка, стенка
sercxi       : искать
serena       : светлый, ясный; спокойный
sergxento    : сержант
serio        : серия, ряд
serioza      : серьёзный
serpento     : змея
serpo        : серп
seruro       : замок
servi        : служить
servuto      : барщина
ses          : шесть
sesio        : сессия
severa       : строгий, суровый
sezono       : сезон, время года
sfero        : сфера, шар; среда
si           : себя
sidi         : сидеть
siegxi       : осаждать
signalo      : сигнал; гудок; звонок
signifi      : иметь знание
signo        : знак, признак
silabo       : слог
silenti      : молчать
silko        : щёлк
silueto      : силуэт
simbolo      : символ
simila       : подобный, похожий
simio        : обезьяна
simpatio     : симпатия; сочувствие
simpla       : простой, несложный
sindikato    : профсоюз
singularo    : единственное число
singulti     : икать
sinjoro      : господин
sinki        : опускаться, снижаться, погружаться
sinkrona     : синхронный, одновременный
sino         : лоно; чрево, утроба; пучина; недра
sinonimo     : синоним
sintakso     : синтаксис
sireno       : сирена, гудок
sismo        : землетрясение
sistemo      : система
sitelo       : ведро
situacio     : ситуация; местоположения
situo        : положение; расположение
skabelo      : скамеечка
skalo        : шкала; масштаб, размер
skatolo      : коробка; шкатулка
skeleto      : скелет
skeptika     : скептический
skio         : лыжа
skismo       : раскол
skizi        : делать эскиз, набросок;
sklavo       : раб
sklerozo     : склероз
skoldi       : бранить, распекать
skolo        : школа (в науке, литературе и т.п.)
skribi       : писать
skrupulo     : скрупулёзность; совестливость
skui         : трясти; встряхивать;   потрясать
skulpti      : ваять, лепить
skurgxo      : плеть, нагайка
slajdo       : слайд, диапозитив
slango       : сленг, жаргон
sledo        : сани
slipo        : карточка
slogano      : лозунг
smajli       : улыбаться
smeraldo     : изумруд
sobra        : трезвый
sociala      : социальный
societo      : общество (объединение)
socio        : общественность
sociologio   : социология
sofisto      : софист
softa        : тихий, мягкий (о звуке)
soifi        : жаждать
sojlo        : порог
sola         : единственный; одинокий
soldato      : солдат; воин
solena       : торжественный, церемониальный
solida       : крепкий; солидный
solidara     : солидарный; сплочённый
solvi        : решать, разрешать
somero       : лето
somnambulo   : сомнамбула, лунатик
soneto       : сонет
songxo       : сон, сновидения; греза
soni         : звучать
sonori       : звенеть
sopiri       : скучать; тосковать;  страстно желать
sorbi        : впитывать, поглощать
sorcxi       : колдовать
sovagxa      : дикий, нелюдимый;  свирепый, хищный
soveto       : совет
spaco        : расстояние; пространство
speciala     : специальный, особый
specifa      : специфический
speco        : вид, сорт; порода
spegulo      : зеркало
spektaklo    : спектакль; зрелище
spekti       : смотреть (спектакль, фильм)
spektro      : спектр
sperta       : искусный; опытный
speso        : условная денежная единица (эсперанто)
spezo        : денежный оборот
spico        : специя, приправа; пряность
spino        : позвоночник, хребет
spiono       : разведчик, шпион
spiri        : дышать
spirito      : дух; душа
spiti        : действовать наперекор
spontana     : непроизвольный
sporto       : спорт
sprita       : остроумный
sprono       : шпора
spuro        : отпечаток, след
sputi        : выплёвывать, харкать
stabila      : стабильный, устойчивый
stablo       : верстак; мольберт; станок
stacio       : станция; остановка;  стоянка
stadio       : стадия
stadiono     : стадион
stafeto      : эстафета; гонец; курьер
stagni       : быть неподвижным, застойным, косным
stampo       : штамп; клеймо
standardo    : знамя
stando       : стенд; стойка
stango       : древко; рычаг; стержень, шест
staniolo     : станиоль, фольга
stari        : стоять; находиться
statistiko   : статистика
statisto     : статист
stato        : положение, состояние
statuo       : статуя
staturo      : осанка; фигура
stelo        : звезда
stepo        : степь
sterko       : навоз, помет; удобрение
sterni       : расстилать, стелить;  распластывать
stertoro     : хрип, хрипение
stilistiko   : стилистика
stilo        : стиль
stimuli      : стимулировать
stinka       : зловонный
stoki        : хранить на складе
stoko        : запас
stomako      : желудок
strabi       : косить (глазами)
strado       : автострада
stranga      : необыкновенный; странный
strategio    : стратегия
strato       : улица
strebi       : стараться; стремиться
strecxi      : напрягать, натягивать
streko       : линия, черта, штрих
streta       : узкий
striki       : бастовать
strikta      : точный, строгий
strio        : лента; полоса
strofo       : строфа
strukturo    : структура, строение
studento     : студент
studi        : заниматься, учиться; изучать; исследовать
stulta       : глупый, тупой
stumbi       : оступаться, спотыкаться
stumpo       : обломок, обрубок; огрызок; отрезок
sturmi       : штурмовать, нападать; впадать в ярость
sub          : под
subite       : внезапно, неожиданно
subjektiva   : субъективный
subjekto     : субъект; подлежащее
sublima      : возвышенный, приподнятый; величественный
substanco    : вещество
substantivo  : имя существительное
substitui    : заменять, замещать
subtila      : мелкий; нежный; тонкий, утонченный
subvencio    : дотация, пособие, субсидия
sucxi        : сосать (кормиться грудью); всасывать
sudo         : юг
suferi       : испытывать боль; мучиться; терпеть
suficxa      : достаточный
sufikso      : суффикс
sufoki       : душить; заглушать,  подавлять
sugesti      : вызывать; внушать; подсказывать, предлагать
suito        : сюита
sukceno      : янтарь
sukcesi      : успевать, иметь успех
sukero       : сахар
suko         : сок
sulko        : борозда; морщина
sumo         : сумма, итог
suno         : солнце
super        : над, сверху
superba      : великолепный
superflua    : лишний, излишний
suplemento   : дополнение; приложение
supo         : суп
supozi       : допускать, предполагать
supro        : верх, вершина
sur          : на
surda        : глухой
surfaco      : поверхность
surogato     : суррогат
surprizi     : удивлять, поражать; застать врасплох
suspekti     : подозревать
suspiri      : вздыхать; стонать
susuri       : шелестеть, шуршать
suvereno     : суверенный правитель
svarmi       : кишеть; быть в изобилии
svastiko     : свастика
svelta       : стройный
sveni        : падать в обморок; терять сознание
svetero      : свитер
svingi       : вилять; качать; махать
sxablono     : шаблон, трафарет, штамп; модель, выкройка
sxafo        : овца
sxajni       : казаться, представляться
sxakalo      : шакал
sxako        : шахматы
sxakto       : шахта, рудник
sxalti       : включать
sxanceli     : колебать, раскачивать
sxanco       : случай, удача, возможность
sxangxi      : менять, изменять
sxargxo      : бремя, груз, нагрузка
sxarko       : акула
sxasxliko    : шашлык
sxati        : нравиться, любить, ценить
sxauxmo      : пена
sxelo        : кожура, кора, скорлупа
sxerci       : шутить
sxi          : она
sxipo        : корабль, судно
sxiri        : срывать, разрывать
sxirmi       : заслонять, укрывать; защищать, охранять
sxlimo       : ил, тина, грязь (лечебная)
sxlosi       : запирать
sxmaci       : хлюпать; чмокать; чавкать
sxminko      : грим; помада; румяна
sxmiri       : мазать, обмазывать
sxoforo      : водитель, шофёр
sxoki        : шокировать, коробить
sxoseo       : шоссе
sxoveli      : сгребать
sxovi        : пихать, совать, толкать
sxovinismo   : шовинизм
sxovinisto   : шовинист
sxpari       : копить, сберегать; экономить
sxpini       : прясть, сучить
sxpuci       : брызгать, прыскать
sxranko      : шкаф
sxrumpi      : сморщиться, покоробиться
sxtalo       : сталь
sxtato       : государство
sxteli       : красть, похищать
sxtipo       : полено; чурбан; обрубок
sxtono       : камень
sxtopi       : закупоривать, затыкать; закрывать
sxtormo      : шторм, буря
sxtrumpo     : чулок
sxtupo       : ступень, ступенька
sxulacxo     : шнурок
sxuldi       : быть в долгу
sxultro      : плечо
sxuo         : башмак, ботинок, туфля
sxuti        : сыпать
sxvabri      : мыть шваброй
sxvabro      : швабра
sxvebi       : парить, реять; висеть в воздухе
sxveli       : опухать; вздуваться, раздуваться
sxvito       : пот, испарина
tabako       : табак
tabelo       : табель
tablo        : стол
tabulo       : доска
tabuo        : запрет, табу
tacxmento    : бригада, команда, отряд
tago         : день
tajdo        : прилив и отлив
tajloro      : портной
tajpi        : печатать на машинке
taksi        : назначать цену; давать оценку
taksio       : такси
takto        : такт; ритм, темп; чувство меры
talento      : талант, дарование
talio        : талия
tamburo      : барабан
tamen        : однако
tanajlo      : клещи, щипцы
tanko        : танк
tarifo       : тариф
tasko        : задание, задача
taso         : чашка
tatui        : татуировать
tauxgi       : годиться
tavolo       : пласт, слой; залежь
teamo        : группа, команда
teatro       : театр
tedi         : надоедать, досаждать, утомлять
tegi         : обтягивать, покрывать; обволакивать
tegmento     : крыша
tegolo       : черепица
tekniko      : техника
teko         : папка, портфель
teksto       : текст
tektoniko    : тектоника
telefono     : телефон
telegramo    : телеграмма
telero       : тарелка
televido     : телевидение
temo         : тема
temperamento : темперамент
temperaturo  : температура
tempio       : висок
templo       : собор, храм
tempo        : время
tendenco     : тенденция; стремление
tendo        : палатка, тент; шатёр
tenera       : нежный
teni         : держать
teniso       : теннис
tenti        : искушать, соблазнять
teo          : чай
teorio       : теория
terapio      : терапия
teritorio    : территория, область
termino      : термин
terminologio : терминология
tero         : земля
teroro       : террор
teruro       : ужас
testamento   : завещание
testi        : тестировать
testudo      : черепаха
tezo         : тезис, положение
tia          : такой
tial         : почему
tiam         : когда
tie          : где
tiel         : как
tien         : куда
ties         : чей
tigo         : ручка инструмента; стебель
tikli        : щекотать
timi         : бояться
tinti        : звенеть, бряцать
tio          : то
tiom         : сколько
tipo         : тип, образец
tiranio      : тирания
tirano       : тиран
tiri         : тащить, тянуть; извлекать
titano       : гигант, исполин; титан
titolo       : титул; заглавие
tiu          : тот
toleri       : терпеть, переносить
tolo         : полотно, холст
tomato       : помидор, томат
tombo        : могила
tondi        : стричь ножницами
tondro       : гром
tono         : тон; звук; лад
tordi        : вить, крутить; искажать
torento      : поток, ливень
torso        : торс
torturi      : пытать, истязать
tosto        : тост
totala       : полный, тотальный
tra          : сквозь, через
trabo        : бревно, брус, балка
tradicio     : традиция
traduki      : перевести
trafi        : метко попадать; заставать; случайно встретить
trafiko      : транспорт; движение
tragedio     : трагедия
tragika      : трагический
trajno       : поезд
trajto       : черта (лица, характера)
trakti       : трактовать, вести переговоры
traktoro     : трактор
tramo        : трамвай
trancxi      : резать
trankvila    : спокойный, тихий
trans        : за, через; по ту сторону
tre          : очень
trejni       : тренировать, обучать; подготавливать
tremi        : дрожать, трепетать
tremolo      : осина
trempi       : макать, окунать, погружать
treni        : волочить, тащить
treti        : топтать; мять; давить
trezoro      : драгоценности; клад; сокровищница
tri          : три
tribunalo    : суд
trinki       : пить
trista       : грустный, печальный
triumfo      : триумф, торжество, победа
triviala     : тривиальный, вульгарный
tro          : слишком
trolebuso    : троллейбус
trompi       : обманывать, вводить в заблуждение
tropiko      : тропик
tropo        : троп (слово в переносном смысле)
trotuaro     : тротуар
trovi        : находить
trudi        : навязывать
trumpeto     : труба (муз. инструмент)
trunko       : туловище; ствол; магистраль
truo         : дыра, отверстие; скважина
trupo        : труппа, войско, отряд
truto        : форель
tuj          : немедленно, сейчас
tuko         : платок, полотнище
tumulto      : суета, суматоха
tunelo       : туннель
turismo      : туризм
turisto      : турист
turmenti     : мучить, терзать
turni        : вертеть, крутить
turo         : башня, вышка
tusxi        : трогать
tuta         : весь, целый
tute         : совершенно, совсем
tutkore      : от всего сердца
ukazo        : указ
ulcero       : язва
ultimato     : ультиматум
ultra        : ультра
umbiliko     : пуп, пупок
ungo         : ноготь, коготь
uniformo     : униформа; мундир
unika        : единственный
unio         : союз (объединение)
unisono      : унисон, согласие
universala   : всеобщий, всемирный; универсальный
universo     : вселенная
univetsitato : университет
unu          : один
unukornulo   : единорог
uragano      : ураган
urbo         : город
uretro       : мочеиспускательный канал
urgxi        : быть срочным, неотложным
urino        : моча
urno         : урна
uro          : зубр
urso         : медведь
urtiko       : крапива
utero        : матка
utila        : полезный
utopio       : утопия
uvo          : виноград
uzi          : использовать
uzino        : завод
uzuristo     : ростовщик
uzuro        : ростовщичество
uzurpi       : узурпировать
vagi         : бродить, блуждать; странствовать
vagono       : вагон
vaki         : быть вакантным, свободным
vakso        : воск; мастика
vakuo        : пустота, вакуум
valida       : действительный; законный
valizo       : чемодан
valo         : долина, ложбина
valoro       : значение, ценность
valvo        : клапан, вентиль; створка; радиолампа
vana         : напрасный, тщетный
vango        : щека
vaporo       : пар
varbi        : вербовать, привлекать; нанимать
varianto     : вариант
varieteo     : эстрадное представление
varii        : изменяться, варьировать; разниться
varma        : тёплый
varo         : продукт, изделие, товар
vaskulo      : сосуд (анатомич. понятие)
vasta        : обширный, просторный
vazo         : ваза, чаша, сосуд, горшок
ve           : увы
vegetalo     : растение
veki         : будить, пробуждать
velki        : блекнуть, вянуть
velo         : парус
vendi        : продавать
vendredo     : пятница
veneno       : отрава, яд
veni         : приходить, приезжать, прибывать
venki        : побеждать, выиграть
vento        : ветер
ventro       : брюхо, живот, утроба
vera         : истинный, подлинный
verbo        : глагол
verda        : зелёный
verdikto     : приговор, вердикт
verdire      : по правде говоря
verko        : произведение; сочинение
vermo        : червь
versio       : версия, толкование
verso        : стих
versxi       : лить
versxajne    : вероятно
vespero      : вечер
vespo        : оса
vestiblo     : передняя, вестибюль
vertikala    : вертикальный
vesto        : одежда
veterano     : ветеран
vetero       : погода
veturi       : ехать
veziko       : пузырь
vi           : ты, вы
viando       : мясо
vibri        : вибрировать, трепетать
vico         : очередь, ряд, строй
vidi         : видеть
vidvino      : вдова
vidvo        : вдовец
vigla        : бодрый, энергичный
viktimo      : жертва
vilagxo      : деревня
vinagro      : уксус
vino         : вино
vintro       : зима
violino      : скрипка
violoncxelo  : виолончель
vipo         : бич, кнут, хлыст
viro         : мужчина
visxi        : вытирать
vitralo      : витраж
vitrino      : витрина
vitro        : стекло
vivi         : жить
vizagxo      : лицо
viziti       : навещать, посещать
vizo         : виза
vocxo        : голос
vojagxi      : путешествовать
vojo         : дорога, путь
vokalo       : гласный
voki         : звать, призывать
volbo        : дуга, свод, выгиб
voli         : хотеть, желать
volonte      : охотно, добровольно
volumo       : том
volvi        : завёртывать, обматывать
vomi         : тошнить
vorto        : слово
vosto        : хвост
vualo        : вуаль; покрывало
vulgara      : пошлый, вульгарный
vulkanizi    : вулканизировать
vulkano      : вулкан
vulpo        : лиса
vundo        : рана; душевная боль
zebro        : зебра
zefiro       : зефир, ветерок
zeloto       : фанатик
zenito       : зенит
zibelo       : соболь
zigzago      : зигзаг
zimo         : брожение
zinko        : цинк
zipo         : застёжка-молния
zizelo       : суслик
zodiako      : зодиак
zono         : регион, пояс; ремень
zoo          : зоосад, зоопарк
zoologio     : зоология
zorgi        : беспокоиться; заботиться, ухаживать
zumi         : жужжать, гудеть; шуметь

